# schema_version: 2026-05-18_v1
# columns: id, chunk_de, chunk_vn, type, topic, level, source, first_seen, last_practiced, frequency, note
# id format: CH-<YYYYMMDD>-<NNN>
# type enum: redemittel | collocation | idiom | phrasal | formula
# topic enum: Arbeit | Wohnen | Gesundheit | Behörde | Familie | Freizeit | Bildung | Einkauf | Verkehr | Wetter | general
# level enum: A1 | A2 | B1 | B2 | C1 | C2
# Append-only. Update only frequency + last_practiced.
id,chunk_de,chunk_vn,type,topic,level,source,first_seen,last_practiced,frequency,note
CH-20260522-121,sich in eine Liste eintragen lassen,đăng ký vào danh sách,collocation,Behörde,B1,lesen/3.7,2026-05-22,2026-05-22,1,lassen + Infinitiv
CH-20260522-122,möglichst frühzeitig anmelden,đăng ký càng sớm càng tốt,collocation,Behörde,B1,lesen/3.7,2026-05-22,2026-05-22,1,
CH-20260522-123,Es findet etwas statt,Sự kiện diễn ra,collocation,general,B1,lesen/3.8,2026-05-22,2026-05-22,1,trennbares Verb
CH-20260522-124,Wir laden Sie ganz herzlich ein,Chúng tôi trân trọng kính mời quý vị,redemittel,Behörde,B1,lesen/3.8,2026-05-22,2026-05-22,1,lời mời formal
CH-20260522-125,den Tag gemeinsam verbringen,cùng nhau trải qua một ngày,collocation,Freizeit,B1,lesen/3.8,2026-05-22,2026-05-22,1,
CH-20260522-126,Wartungsarbeiten durchführen,thực hiện công việc bảo trì,collocation,Wohnen,B1,lesen/3.9,2026-05-22,2026-05-22,1,
CH-20260522-127,"wir bitten Sie, ... zu + Infinitiv",chúng tôi đề nghị quý vị ...,redemittel,Behörde,B1,lesen/3.9,2026-05-22,2026-05-22,1,câu yêu cầu formal
CH-20260522-128,Zugang zu + Dativ benötigen,"cần lối vào, cần tiếp cận",collocation,Wohnen,B1,lesen/3.9,2026-05-22,2026-05-22,1,
CH-20260522-129,beigefügt finden Sie + Akk,đính kèm theo đây quý vị tìm thấy,redemittel,Behörde,B1,lesen/3.10,2026-05-22,2026-05-22,1,câu mở thư formal có file đính kèm
CH-20260522-130,zur Verfügung stehen,"sẵn sàng phục vụ, có thể sử dụng",idiom,Behörde,B1,lesen/3.10,2026-05-22,2026-05-22,1,+ Dat
CH-20260522-131,Vielen Dank für Ihre Mithilfe,Cảm ơn vì sự hợp tác của quý vị,redemittel,Behörde,B1,lesen/3.10,2026-05-22,2026-05-22,1,câu kết formal
CH-20260522-132,ein Konto eröffnen,mở một tài khoản,collocation,Einkauf,B1,lesen/3.11,2026-05-22,2026-05-22,1,
CH-20260522-133,Bargeld am Geldautomaten abheben,rút tiền mặt tại cây ATM,collocation,Einkauf,B1,lesen/3.11,2026-05-22,2026-05-22,1,
CH-20260522-134,Rechnungen selbst bezahlen,tự thanh toán hóa đơn,collocation,Einkauf,B1,lesen/3.11,2026-05-22,2026-05-22,1,
CH-20260522-135,ein neues Konzept gilt ab + Datum,quy định mới có hiệu lực từ ngày...,redemittel,Behörde,B1,lesen/3.12,2026-05-22,2026-05-22,1,câu thông báo formal
CH-20260522-136,gegen die Regeln verstoßen,vi phạm quy định,collocation,Behörde,B1,lesen/3.12,2026-05-22,2026-05-22,1,
CH-20260522-137,eine Gebühr wird fällig,phí đến hạn phải trả,collocation,Behörde,B1,lesen/3.12,2026-05-22,2026-05-22,1,
CH-20260522-138,die Stadtverwaltung lädt Sie herzlich ein,chính quyền thành phố trân trọng kính mời quý vị,redemittel,Behörde,B1,lesen/3.13,2026-05-22,2026-05-22,1,câu mời formal
CH-20260522-139,sparsamer Umgang mit Ressourcen,sử dụng tài nguyên tiết kiệm,collocation,general,B1,lesen/3.13,2026-05-22,2026-05-22,1,
CH-20260522-140,Wir freuen uns auf Ihre Teilnahme,Chúng tôi rất mong sự tham gia của quý vị,redemittel,Behörde,B1,lesen/3.13,2026-05-22,2026-05-22,1,câu kết formal
CH-20260522-141,sich bei einer Fahrschule anmelden,đăng ký tại một trường dạy lái xe,collocation,Verkehr,B1,lesen/3.14,2026-05-22,2026-05-22,1,
CH-20260522-142,nach bestandener Prüfung,sau khi đỗ kỳ thi,idiom,Bildung,B1,lesen/3.14,2026-05-22,2026-05-22,1,Partizip II als Adj.
CH-20260522-143,die Sicherheit im Straßenverkehr erhöhen,tăng cường an toàn giao thông,collocation,Verkehr,B1,lesen/3.14,2026-05-22,2026-05-22,1,
CH-20260522-144,zu Gast sein an + Dat,làm khách tại,idiom,Behörde,B1,lesen/3.15,2026-05-22,2026-05-22,1,
CH-20260522-145,jemandem etwas näherbringen,giới thiệu/làm quen điều gì cho ai,collocation,Bildung,B1,lesen/3.15,2026-05-22,2026-05-22,1,+ Dat + Akk
CH-20260522-146,"positive Rückmeldungen zeigen, dass ...",những phản hồi tích cực cho thấy rằng ...,redemittel,Behörde,B1,lesen/3.15,2026-05-22,2026-05-22,1,dass-Satz
CH-20260522-147,sich gezielt auf etwas vorbereiten,chuẩn bị có chủ đích cho điều gì,collocation,Bildung,B1,lesen/4.1,2026-05-22,2026-05-22,1,vorbereiten auf + Akk
CH-20260522-148,Feedback geben lassen,yêu cầu được nhận phản hồi,collocation,Bildung,B1,lesen/4.1,2026-05-22,2026-05-22,1,lassen + Inf
CH-20260522-149,darf nicht weitergegeben werden,không được phép chuyển cho người khác,redemittel,Behörde,B1,lesen/4.2,2026-05-22,2026-05-22,1,
CH-20260522-150,in Höhe von ...,với mức/trị giá ...,idiom,Behörde,B1,lesen/4.2,2026-05-22,2026-05-22,1,
CH-20260522-151,Bei Verlust oder Beschädigung,trong trường hợp mất hoặc hư hỏng,redemittel,Behörde,B1,lesen/4.2,2026-05-22,2026-05-22,1,
CH-20260522-152,rund um die Uhr,suốt 24/24 giờ,idiom,general,B1,lesen/4.3,2026-05-22,2026-05-22,1,
CH-20260522-153,Bitte beachten Sie folgende Regeln,Xin lưu ý các quy định sau,redemittel,Behörde,B1,lesen/4.3,2026-05-22,2026-05-22,1,
CH-20260522-154,je angefangene 30 Minuten,mỗi 30 phút đã bắt đầu,idiom,Einkauf,B1,lesen/4.3,2026-05-22,2026-05-22,1,
CH-20260522-155,Verzichten Sie auf + Akk,Hãy từ bỏ/không dùng điều gì,redemittel,Gesundheit,B1,lesen/4.4,2026-05-22,2026-05-22,1,
CH-20260522-156,Mahlzeiten zu sich nehmen,"dùng bữa, ăn",idiom,Gesundheit,B1,lesen/4.4,2026-05-22,2026-05-22,1,formal hơn essen
CH-20260522-157,"Bevor Sie das Gerät verwenden, beachten Sie ...","Trước khi sử dụng thiết bị, hãy lưu ý ...",redemittel,Einkauf,B1,lesen/4.5,2026-05-22,2026-05-22,1,câu hướng dẫn formal
CH-20260522-158,von der Garantie abgedeckt sein,được bảo hành chi trả,collocation,Einkauf,B1,lesen/4.5,2026-05-22,2026-05-22,1,
CH-20260522-159,bei ausgeschaltetem Zustand,khi thiết bị đang tắt,idiom,Einkauf,B1,lesen/4.5,2026-05-22,2026-05-22,1,
CH-20260522-160,eine Bestellung aufgeben,đặt một đơn hàng,collocation,Einkauf,B1,lesen/4.6,2026-05-22,2026-05-22,1,
CH-20260522-161,"Voraussetzung ist, dass ...",Điều kiện tiên quyết là ...,redemittel,Einkauf,B1,lesen/4.6,2026-05-22,2026-05-22,1,
CH-20260522-162,ab Erhalt,kể từ khi nhận hàng,idiom,Einkauf,B1,lesen/4.6,2026-05-22,2026-05-22,1,
CH-20260522-163,auf dem Laufenden bleiben,luôn cập nhật thông tin mới nhất,idiom,general,B1,lesen/4.7,2026-05-22,2026-05-22,1,
CH-20260522-164,sich etwas zusammenstellen,tự ghép/tạo điều gì theo ý mình,collocation,Einkauf,B1,lesen/4.7,2026-05-22,2026-05-22,1,reflexiv
CH-20260522-165,"darf nicht eingenommen werden, wenn ...",không được uống nếu ...,redemittel,Gesundheit,B1,lesen/4.8,2026-05-22,2026-05-22,1,Passiv
CH-20260522-166,ärztlichen Rat einholen,xin lời khuyên bác sĩ,collocation,Gesundheit,B1,lesen/4.8,2026-05-22,2026-05-22,1,
CH-20260522-167,Rücksprache mit einem Arzt halten,tham vấn với bác sĩ,collocation,Gesundheit,B1,lesen/4.8,2026-05-22,2026-05-22,1,
CH-20260522-168,nach ärztlicher Anweisung,theo chỉ định của bác sĩ,redemittel,Gesundheit,B1,lesen/4.9,2026-05-22,2026-05-22,1,
CH-20260522-169,ohne Rezept erhältlich,có thể mua mà không cần đơn thuốc,redemittel,Gesundheit,B1,lesen/4.9,2026-05-22,2026-05-22,1,
CH-20260522-170,einen Arzt aufsuchen,đến gặp bác sĩ,collocation,Gesundheit,B1,lesen/4.9,2026-05-22,2026-05-22,1,aufsuchen = besuchen formal
CH-20260522-171,in Raten zahlen,thanh toán trả góp,collocation,Einkauf,B1,lesen/4.10,2026-05-22,2026-05-22,1,
CH-20260522-172,unter zwei Bedingungen,với hai điều kiện,redemittel,Behörde,B1,lesen/4.10,2026-05-22,2026-05-22,1,
CH-20260522-173,nach Ablauf + Gen,sau khi (thời hạn) kết thúc,idiom,Behörde,B1,lesen/4.10,2026-05-22,2026-05-22,1,
CH-20260522-174,Sehr geehrter Herr ...,Kính thưa Ông ... (mở đầu thư trang trọng cho nam),redemittel,Behörde,B1,lesen/5.6,2026-05-22,2026-05-22,1,Adjektivendung -er vì gửi tới Mann
CH-20260522-175,mit großem Interesse,với sự quan tâm rất lớn,redemittel,Behörde,B1,lesen/5.6,2026-05-22,2026-05-22,1,Präposition mit + Dativ
CH-20260522-176,"Ich würde mich sehr freuen, wenn ... könnte/könnten",Tôi sẽ rất vui nếu ... có thể (lời mong nhã nhặn),redemittel,Behörde,B1,lesen/5.6,2026-05-22,2026-05-22,1,Konjunktiv II — würde + wenn-Satz mit könnten
CH-20260522-177,Sie erreichen mich (telefonisch) unter ...,Quý vị có thể liên hệ với tôi (qua điện thoại) số ...,redemittel,Behörde,B1,lesen/5.6,2026-05-22,2026-05-22,1,erreichen + Akk + unter + Nummer
CH-20260522-178,"Wir möchten Sie daran erinnern, dass ...",Chúng tôi xin nhắc quý vị rằng ...,redemittel,Behörde,B1,lesen/5.7,2026-05-22,2026-05-22,1,
CH-20260522-179,jemandem etwas zukommen lassen,gửi cho ai cái gì (trang trọng),redemittel,Behörde,B1,lesen/5.7,2026-05-22,2026-05-22,1,Dativ + Akk + zukommen lassen
CH-20260522-180,"Es freut uns, Ihnen mitteilen zu dürfen, dass ...",Chúng tôi rất vui được thông báo cho quý vị rằng ...,redemittel,Behörde,B1,lesen/5.7,2026-05-22,2026-05-22,1,Infinitivsatz mit zu
CH-20260522-181,"vorausgesetzt, (dass) ...",với điều kiện là ...,redemittel,Behörde,B1,lesen/5.7,2026-05-22,2026-05-22,1,Konditional-Konjunktion
CH-20260522-182,Aus diesem Grund + Verb,Vì lý do đó ...,redemittel,general,B1,lesen/5.8,2026-05-22,2026-05-22,1,"Position 1, Inversion"
CH-20260522-183,"Wenn ..., wäre das eine große Hilfe für mich",Nếu ... thì đó sẽ là một sự giúp đỡ lớn cho tôi,redemittel,Behörde,B1,lesen/5.8,2026-05-22,2026-05-22,1,Konjunktiv II wäre
CH-20260522-184,entweder ... oder ...,hoặc là ... hoặc là ...,redemittel,general,B1,lesen/5.8,2026-05-22,2026-05-22,1,Doppelkonjunktion
CH-20260522-185,wegen + Genitiv,"do, vì (lý do) — sau là Genitiv",redemittel,general,B1,lesen/5.9,2026-05-22,2026-05-22,1,Präposition wegen + Gen
CH-20260522-186,"Leider habe ich (erst) ... entdeckt, dass ...",Rất tiếc tôi (mới) phát hiện rằng ...,redemittel,Einkauf,B1,lesen/5.9,2026-05-22,2026-05-22,1,mở đầu khiếu nại lịch sự
CH-20260522-187,"Ich bitte Sie daher, ... zu + Infinitiv",Vì vậy tôi xin quý vị ...,redemittel,Behörde,B1,lesen/5.9,2026-05-22,2026-05-22,1,đề nghị lịch sự
CH-20260522-188,"Selbstverständlich gehe ich davon aus, dass ...",Tất nhiên tôi cho rằng ...,redemittel,Behörde,B1,lesen/5.9,2026-05-22,2026-05-22,1,davon ausgehen + dass-Satz
CH-20260522-189,Es handelt sich (eindeutig) um + Akk,Đây (rõ ràng) là về ...,redemittel,general,B1,lesen/5.10,2026-05-22,2026-05-22,1,unpersönliches es
CH-20260522-190,auf keinen Fall,tuyệt đối không,idiom,general,B1,lesen/5.10,2026-05-22,2026-05-22,1,Verneinung mạnh
CH-20260522-191,Machen Sie eine Anzeige bei der Polizei,Hãy làm đơn trình báo cảnh sát,redemittel,Behörde,B1,lesen/5.10,2026-05-22,2026-05-22,1,Anzeige machen feste Kollokation
CH-20260522-192,"Wie Ihnen sicherlich bekannt ist, ...","Như quý vị chắc chắn đã biết, ...",redemittel,Behörde,B1,lesen/5.11,2026-05-22,2026-05-22,1,Einleitung formell
CH-20260522-193,"Für diese Arbeiten ist es erforderlich, dass ...","Đối với các công việc này, cần thiết phải ...",redemittel,Behörde,B1,lesen/5.11,2026-05-22,2026-05-22,1,unpersönliches es ist + Adj + dass-Satz
CH-20260522-194,bei + Dat + hinterlegen,gửi lại tại chỗ (ai),collocation,Wohnen,B1,lesen/5.11,2026-05-22,2026-05-22,1,Präposition bei + Dat
CH-20260522-195,"Wir versichern Ihnen, dass ...",Chúng tôi cam đoan với quý vị rằng ...,redemittel,Behörde,B1,lesen/5.11,2026-05-22,2026-05-22,1,versichern + Dat + dass-Satz
CH-20260522-196,"Wir müssen Sie heute daran erinnern, dass ...",Hôm nay chúng tôi buộc phải nhắc quý vị rằng ...,redemittel,Behörde,B1,lesen/5.12,2026-05-22,2026-05-22,1,
CH-20260522-197,Bitte überweisen Sie ... auf unser Konto bei ...,Xin chuyển khoản ... vào tài khoản của chúng tôi tại ...,redemittel,Behörde,B1,lesen/5.12,2026-05-22,2026-05-22,1,
CH-20260522-198,Bei Fragen hilft Ihnen ... gerne weiter,"Nếu có thắc mắc, ... sẽ vui lòng hỗ trợ thêm cho quý vị",redemittel,Behörde,B1,lesen/5.12,2026-05-22,2026-05-22,1,weiterhelfen + Dat
CH-20260522-199,"Beim Auspacken musste ich feststellen, dass ...","Khi mở hàng, tôi phải phát hiện ra rằng ...",redemittel,Einkauf,B1,lesen/5.13,2026-05-22,2026-05-22,1,
CH-20260522-200,die Kosten für ... übernehmen,chịu/gánh chi phí cho ...,collocation,Einkauf,B1,lesen/5.13,2026-05-22,2026-05-22,1,
CH-20260522-201,Vielen Dank für Ihre Mühe,Cảm ơn quý vị về công sức,redemittel,Behörde,B1,lesen/5.13,2026-05-22,2026-05-22,1,feste Schlussformel
CH-20260522-202,Hiermit erkläre ich die Kündigung ... zum nächstmöglichen Datum,Bằng văn bản này tôi tuyên bố chấm dứt ... vào ngày sớm nhất có thể,redemittel,Behörde,B1,lesen/5.14,2026-05-22,2026-05-22,1,
CH-20260522-203,"Ich wäre Ihnen dankbar, wenn Sie ... mitteilen könnten",Tôi sẽ rất biết ơn nếu quý vị có thể cho tôi biết ...,redemittel,Behörde,B1,lesen/5.14,2026-05-22,2026-05-22,1,Konjunktiv II
CH-20260522-204,"Des Weiteren bitte ich darum, ... zu + Inf",Ngoài ra tôi xin được ...,redemittel,Behörde,B1,lesen/5.14,2026-05-22,2026-05-22,1,Infinitivsatz mit zu
CH-20260522-205,Wir bestätigen den Eingang Ihres Antrags auf + Akk,Chúng tôi xác nhận đã nhận được đơn xin ... của quý vị,redemittel,Behörde,B1,lesen/5.15,2026-05-22,2026-05-22,1,Antrag auf + Akk
CH-20260522-206,"Wir möchten Sie daher bitten, ... zu + Inf",Vì vậy chúng tôi xin đề nghị quý vị ...,redemittel,Behörde,B1,lesen/5.15,2026-05-22,2026-05-22,1,
CH-20260522-207,"Sollten ... unverständlich sein, unterstützen wir Sie selbstverständlich gern","Nếu ... khó hiểu, dĩ nhiên chúng tôi sẵn lòng hỗ trợ quý vị",redemittel,Behörde,B1,lesen/5.15,2026-05-22,2026-05-22,1,Konjunktiv II ohne wenn
